@relation FuncionCuadratica

@attribute controlVar0 numeric
@attribute controlVar1 numeric
@attribute controlVar2 numeric
@attribute controlVar3 numeric
@attribute varObjetivo numeric

@data
0,-0.93039,-1,0,-0.930286
0,-0.938412,-1,0.2,-0.975958
0,-0.94615,-1,0.4,-0.9977
0,-0.955031,-1,0.6,-1.007265
0,-0.961026,-1,0.8,-1.019014
0,-0.964209,-1,1,-1.041008
0,-0.969826,-0.8,-1,-0.776358
0,-0.900873,-0.8,-0.8,0
0,-0.887023,-0.8,-0.6,-0.453761
0,-0.905564,-0.8,-0.4,-0.665591
0,-0.918008,-0.8,-0.2,-0.829856
0,-0.928823,-0.8,0,-0.928286
0,-0.938052,-0.8,0.2,-0.991638
0,-0.949118,-0.8,0.4,-0.997742
0,-0.954979,-0.8,0.6,-1.006844
0,-0.960351,-0.8,0.8,-1.042691
0,-0.967102,-0.8,1,-1.097234
0,-0.973096,-0.6,-1,-0.627482
0,-0.889747,-0.6,-0.8,-0.467069
0,-0.898144,-0.6,-0.6,-0.6089
0,-0.90978,-0.6,-0.4,-0.785423
0,-0.921982,-0.6,-0.2,-0.871337
0,-0.931624,-0.6,0,-0.929989
0,-0.938572,-0.6,0.2,-0.992673
0,-0.948147,-0.6,0.4,-1.002288
0,-0.955741,-0.6,0.6,-1.006815
0,-0.960454,-0.6,0.8,-1.016585
0,-0.965746,-0.6,1,-1.584354
0,-0.984442,-0.4,-1,-0.685603
0,-0.896811,-0.4,-0.8,-0.660967
0,-0.910425,-0.4,-0.6,-0.774347
0,-0.919139,-0.4,-0.4,-0.647385
0,-0.918271,-0.4,-0.2,-0.858914
0,-0.931936,-0.4,0,-0.930634
0,-0.938056,-0.4,0.2,-0.965458
0,-0.943803,-0.4,0.4,-1.009413
0,-0.955851,-0.4,0.6,-1.004208
0,-0.957682,-0.4,0.8,-1.008475
0,-0.961264,-0.4,1,-1.008031
0,-0.96336,-0.2,-1,-0.724829
0,-0.914652,-0.2,-0.8,-0.804839
0,-0.926335,-0.2,-0.6,-0.872864
0,-0.928698,-0.2,-0.4,-0.898201
0,-0.932277,-0.2,-0.2,-0.911028
0,-0.93553,-0.2,0,-0.936446
0,-0.939028,-0.2,0.2,-0.963693
0,-0.941988,-0.2,0.4,-0.983103
0,-0.94562,-0.2,0.6,-0.995175
0,-0.949929,-0.2,0.8,-1.014094
0,-0.956114,-0.2,1,-1.00997
0,-0.957682,0,-1,-0.954771
0,-0.93797,0,-0.8,-0.93872
0,-0.938282,0,-0.6,-0.939674
0,-0.938614,0,-0.4,-0.938976
0,-0.938228,0,-0.2,-0.937618
0,-0.938785,0,0,-0.938338
0,-0.938081,0,0.2,-0.938771
0,-0.938632,0,0.4,-0.937863
0,-0.938268,0,0.6,-0.938764
0,-0.938884,0,0.8,-0.938996
0,-0.939001,0,1,-0.937953
0,-0.938055,0.2,-1,-1.016907
0,-0.959293,0.2,-0.8,-0.999412
0,-0.952188,0.2,-0.6,-0.970348
0,-0.944928,0.2,-0.4,-0.962824
0,-0.942816,0.2,-0.2,-0.959407
0,-0.94128,0.2,0,-0.942052
0,-0.938286,0.2,0.2,-0.908268
0,-0.934008,0.2,0.4,-0.871379
0,-0.930654,0.2,0.6,-0.837809
0,-0.926859,0.2,0.8,-0.805446
0,-0.923965,0.2,1,-0.802413
0,-0.922264,0.4,-1,-0.998933
0,-0.964461,0.4,-0.8,-1.002184
0,-0.959051,0.4,-0.6,-0.999573
0,-0.954983,0.4,-0.4,-0.992608
0,-0.949634,0.4,-0.2,-0.972531
0,-0.943319,0.4,0,-0.944864
0,-0.93822,0.4,0.2,-0.912825
0,-0.932938,0.4,0.4,-0.856018
0,-0.926028,0.4,0.6,-0.763099
0,-0.916618,0.4,0.8,-0.686337
0,-0.910136,0.4,1,-0.696641
0,-0.906775,0.6,-1,-1.023574
0,-0.969239,0.6,-0.8,-0.997094
0,-0.953505,0.6,-0.6,-0.999015
0,-0.95459,0.6,-0.4,-0.998256
0,-0.951132,0.6,-0.2,-0.964979
0,-0.942185,0.6,0,-0.94375
0,-0.937884,0.6,0.2,-0.888737
0,-0.930602,0.6,0.4,-0.900006
0,-0.929275,0.6,0.6,-0.835621
0,-0.920444,0.6,0.8,-0.659785
0,-0.906317,0.6,1,-0.804357
0,-0.916678,0.8,-1,-0.99796
0,-0.962588,0.8,-0.8,-1.045192
0,-0.965288,0.8,-0.6,-0.992076
0,-0.949958,0.8,-0.4,-0.987838
0,-0.949191,0.8,-0.2,-0.984052
0,-0.94471,0.8,0,-0.946291
0,-0.938223,0.8,0.2,-0.913423
0,-0.933257,0.8,0.4,-0.822757
0,-0.92287,0.8,0.6,-0.86183
0,-0.922952,0.8,0.8,-0.779884
0,-0.914937,0.8,1,-0.515894
0,-0.896259,1,-1,-0.96946
0,-0.956931,1,-0.8,-0.99954
0,-0.958856,1,-0.6,-1.066955
0,-0.963047,1,-0.4,-1.004148
0,-0.954351,1,-0.2,-0.995583
0,-0.946282,1,0,-0.948184
0,-0.937368,1,0.2,-0.920242
0,-0.93391,1,0.4,-0.87696
